	MCT1_id	MCT1_name	MCT1_r_value	SIT4_id	SIT4_name	SIT4_r_value	PHO85_id	PHO85_name	PHO85_r_value	PHO84_id	PHO84_name	PHO84_r_value	PHO4_id	PHO4_name	PHO4_r_value	REG1_id	REG1_name	REG1_r_value	PHO80_id	PHO80_name	PHO80_r_value	PHO81_id	PHO81_name	PHO81_r_value	PHO89_id	PHO89_name	PHO89_r_value	PHO2_id	PHO2_name	PHO2_r_value	PHO87_id	PHO87_name	PHO87_r_value	PHO90_id	PHO90_name	PHO90_r_value
12	YJR091C	JSN1	0.3942580816020583	YDR155C	CPR1	0.41556223905558276	YPL098C	MGR2	0.42957241635366533	YLR413W	INA1	0.4195888585106197	YOR140W	SFL1	0.5167416625308088	YGL227W	VID30	0.7461585461730935	YGR024C	THG1	0.4853203634550479	YDL104C	QRI7	0.4364725814143979	YDL085W	NDE2	0.37482165250747407	YOR014W	RTS1	0.5983824030901815	YJR153W	PGU1	0.4318757770282469	YPR010C	RPA135	0.49366382463297387
13	YJL141C	YAK1	0.3935685296558194	YBR221C	PDB1	0.4132759779402676	YBR241C	YBR241C	0.427380317581199	YFL004W	VTC2	0.41288035414160346	YML013W	UBX2	0.5159717888336955	YML010W	SPT5	0.7450259740560843	YDR084C	TVP23	0.48366415924785305	YLR307W	CDA1	0.4035840047831317	YOL126C	MDH2	0.3696394333394273	YGL227W	VID30	0.5960704991448464	YDR338C	YDR338C	0.42781530052001077	YIR026C	YVH1	0.49307776735341086
14	YKL211C	TRP3	0.38908892102539183	YER133W	GLC7	0.41144942181951216	YDL144C	YDL144C	0.42705099814916153	YLR410W	VIP1	0.4055729503600497	YLR141W	RRN5	0.5144193055110964	YLR206W	ENT2	0.7434958657931168	YPL096C-A	ERI1	0.48181120406254946	YER180C	ISC10	0.40264925439671306	YNL014W	HEF3	0.3671170638211085	YGR237C	YGR237C	0.5929816073976865	YDR443C	SSN2	0.4244634999846582	YHR197W	RIX1	0.4905643890827469
15	YER136W	GDI1	0.38848917234087776	YDR188W	CCT6	0.41067360153520865	YBR053C	YBR053C	0.42543425488971603	YJR147W	HMS2	0.4030573478321193	YIL154C	IMP2'	0.5140625240455486	YMR031C	EIS1	0.7277602243091669	YOR297C	TIM18	0.4811395582104128	YOR163W	DDP1	0.3882041952992074	YAL062W	GDH3	0.3625327935854294	YOL060C	MAM3	0.5893470527507473	YLR419W	YLR419W	0.4185528379452993	YLL034C	RIX7	0.48215796434529623
16	YNR068C	YNR068C	0.38703342893787007	YMR171C	EAR1	0.4071527989782798	YDL169C	UGX2	0.4184099326773191	YNR013C	PHO91	0.38319389294260064	YLL038C	ENT4	0.5090604495133658	YBL047C	EDE1	0.7239605254168457	YJR044C	VPS55	0.4798947725721578	YCR038C	BUD5	0.38547826857265227	YHR033W	YHR033W	0.360472028966751	YGL190C	CDC55	0.5823689347570661	YNR055C	HOL1	0.4163320544375261	YJR070C	LIA1	0.4815041214115988
17	YDL025C	RTK1	0.38434514527745917	YGR031W	IMO32	0.40668623798442427	YHR194W	MDM31	0.4182351728717532	YNL066W	SUN4	0.36433030533261695	YGL066W	SGF73	0.503235231930462	YGR237C	YGR237C	0.7204902383030679	YGR038W	ORM1	0.47941785573653456	YGL224C	SDT1	0.3708624784141576	YMR056C	AAC1	0.3583972987957576	YBR212W	NGR1	0.580603626207383	YPL104W	MSD1	0.41369157083468705	YLR186W	EMG1	0.4779260618426844
18	YJL053W	PEP8	0.382848368380277	YML013W	UBX2	0.40316283136324255	YCR073W-A	SOL2	0.4179812970410118	YOR153W	PDR5	0.35500980358555867	YAL013W	DEP1	0.5008942723104848	YOL087C	DUF1	0.7077492576314964	YBR210W	ERV15	0.47669133283385506	YPL158C	AIM44	0.3669310176818068	YPL019C	VTC3	0.35614942099706537	YDR293C	SSD1	0.5795343568216124	YDR364C	CDC40	0.40254127270407175	YNL141W	AAH1	0.4740483378315479
19	YHR161C	YAP1801	0.3802810690146448	YOR213C	SAS5	0.4025682671174869	YER004W	FMP52	0.41508787966260025	YER064C	VHR2	0.3463306219607788	YDR188W	CCT6	0.4952704399308363	YGL197W	MDS3	0.7068604215331804	YOR311C	DGK1	0.4763767979919895	YNL217W	YNL217W	0.36654313492410334	YER065C	ICL1	0.35480070698590227	YMR031C	EIS1	0.5787531901795149	YGR092W	DBF2	0.39880623675380356	YBR104W	YMC2	0.4733705675581824
20	YBR046C	ZTA1	0.37932400994682786	YMR043W	MCM1	0.39672483843388723	YBR149W	ARA1	0.41453358543168517	YOL020W	TAT2	0.33764178293069225	YMR042W	ARG80	0.49276722646353144	YML007W	YAP1	0.7061203504104391	YBR217W	ATG12	0.4754994821873404	YOR249C	APC5	0.36649816908196897	YPL119C	DBP1	0.35325030628584375	YCR091W	KIN82	0.5761820088487343	YHR032W	ERC1	0.3983457898119796	YBL039C	URA7	0.47008704080427877
21	YEL006W	YEA6	0.3793081716223742	YDR432W	NPL3	0.3959108043039962	YJL066C	MPM1	0.4138380180374164	YIL053W	GPP1	0.32480589982434	YGL122C	NAB2	0.4924202442986108	YJL005W	CYR1	0.7052018128453076	YMR187C	YMR187C	0.4719448166170629	YJL129C	TRK1	0.3653636035990142	YER020W	GPA2	0.3526073129823133	YLR206W	ENT2	0.5726576322587037	YPL162C	YPL162C	0.3923447446628277	YDL060W	TSR1	0.4681685412220893
22	YGR136W	LSB1	0.3765662954898525	YLR332W	MID2	0.39310328298710273	YLR356W	ATG33	0.4124258266497815	YPL226W	NEW1	0.3248016765282763	YLR116W	MSL5	0.4902195380483043	YGR100W	MDR1	0.7007683074489552	YGL067W	NPY1	0.47138298539191753	YOR242C	SSP2	0.3498623097421703	YHR096C	HXT5	0.34512218702074393	YHR082C	KSP1	0.5692572661319489	YML066C	SMA2	0.3903376288206001	YKL191W	DPH2	0.4670915244371469
23	YMR008C	PLB1	0.3698025407543574	YGR282C	BGL2	0.39285709628775145	YDR246W	TRS23	0.4118058473767347	YJR060W	CBF1	0.3225041699652707	YHR070W	TRM5	0.4857839839632085	YPL084W	BRO1	0.6997697321370888	YPL258C	THI21	0.4676435917931917	YGL133W	ITC1	0.3395357299189313	YNL195C	YNL195C	0.34403413814931705	YLL029W	FRA1	0.5667664430672339	YHR175W	CTR2	0.390132780176162	YCL036W	GFD2	0.4633215051134298
24	YBR177C	EHT1	0.3697522391511106	YAL038W	CDC19	0.3891681986106415	YMR139W	RIM11	0.4110823554578931	YDR508C	GNP1	0.32192019475927847	YGL023C	PIB2	0.4820786209672686	YGR218W	CRM1	0.6991413306361541	YKR030W	GMH1	0.4675230688093874	YFR019W	FAB1	0.3388508742682776	YAR035W	YAT1	0.3439890625303116	YLR431C	ATG23	0.5659637340790461	YJL146W	IDS2	0.38977994203949684	YOR272W	YTM1	0.4631196914915257
25	YOR220W	RCN2	0.3696228881671061	YDR077W	SED1	0.388916989555919	YOR228C	MCP1	0.4070339457846588	YPL018W	CTF19	0.3193612280997448	YGL212W	VAM7	0.48139002031969697	YHR073W	OSH3	0.6902470708426542	YEL017C-A	PMP2	0.4660869750908195	YER093C	TSC11	0.33848373322075714	YER024W	YAT2	0.34066598776003304	YML007W	YAP1	0.5648206770419552	YGL142C	GPI10	0.38912016926448667	YMR049C	ERB1	0.46235613043865076
